"","stockkey","stockkeylabel","stockkeydescription","speciesfaocode"
"49",169069,"bss-47","Seabass (Dicentrarchus labrax) in divisions 4.b–c, 7.a, and 7.d–h (central and southern North Sea, Irish Sea, English Channel, Bristol Channel, and Celtic Sea)","bss"
"50",169070,"bss-8ab","Seabass (Dicentrarchus labrax) in divisions 8.a–b (northern and central Bay of Biscay)","bss"
"51",169071,"bss-8c9a","Seabass (Dicentrarchus labrax) in divisions 8.c and 9.a (southern Bay of Biscay and Atlantic Iberian waters)","bss"
"52",169072,"bss-wosi","Seabass (Dicentrarchus labrax) in divisions 6.a, 7.b, and 7.j (West of Scotland,  West of Ireland, eastern part of southwest of Ireland)","bss"
"53",169069,"bss.27.4bc7ad–h","Seabass (Dicentrarchus labrax) in divisions 4.b–c, 7.a, and 7.d–h (central and southern North Sea, Irish Sea, English Channel, Bristol Channel, and Celtic Sea)","bss"
"54",169072,"bss.27.6a7bj","Seabass (Dicentrarchus labrax) in divisions 6.a, 7.b, and 7.j (West of Scotland,  West of Ireland, eastern part of southwest of Ireland)","bss"
"55",169070,"bss.27.8ab","Seabass (Dicentrarchus labrax) in divisions 8.a–b (northern and central Bay of Biscay)","bss"
"56",169071,"bss.27.8c9a","Seabass (Dicentrarchus labrax) in divisions 8.c and 9.a (southern Bay of Biscay and Atlantic Iberian waters)","bss"
"57",169073,"cap-bars","Capelin in Subareas I and II, excluding Division IIa west of 5°W (Barents Sea capelin)","cap"
"58",169074,"cap-icel","Capelin in Subareas V, XIV and Division IIa west of 5?W (Iceland-East Greenland-Jan Mayen area)","cap"
"59",169073,"cap.27.1-2","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)","cap"
"60",169074,"cap.27.2a514","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)","cap"
"61",169075,"cod-2224","Cod in Subdivisions 22 - 24","cod"
"62",169076,"cod-2532","Cod in Subdivisions 25 - 32","cod"
"63",169077,"cod-347d","Cod in Subarea IV (North Sea), Divison VIId (Eastern Channel) and IIIa West (Skagerrak)","cod"
"64",169078,"cod-7e-k","Cod in Divisions VIIe-k (Celtic Sea cod)","cod"
"65",169079,"cod-arct","Cod in Subareas I and II (Northeast Arctic cod)","cod"
"66",169080,"cod-coas","Cod in Subareas I and II (Norwegian coastal cod)","cod"
"67",136514,"cod-ewgr","Cod in ICES Subarea XIV and NAFO Subarea 1 (Greenland cod)","cod"
"68",169081,"cod-farb","Cod in Subdivision Vb2 (Faroe Bank)","cod"
"69",169082,"cod-farp","Cod in Subdivision Vb1 (Faroe Plateau)","cod"
"70",169083,"cod-iceg","Cod in Division Va (Icelandic cod)","cod"
"71",169084,"cod-ingr","Cod (Gadus morhua) in NAFO Subarea 1, inshore (West Greenland cod)","cod"
"72",169085,"cod-iris","Cod in Division VIIa (Irish Sea)","cod"
"73",169086,"cod-kat","Cod in Division IIIa East (Kattegat)","cod"
"74",140773,"cod-offgr","Cod in offshore waters of ICES Subarea XIV and NAFO Subarea 1 (Greenland cod)","cod"
"75",169087,"cod-rock","Cod in Division VIb (Rockall)","cod"
"76",169088,"cod-scow","Cod in Division VIa (West of Scotland)","cod"
"77",169089,"cod-segr","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)","cod"
"78",169090,"cod-wgr","Cod (Gadus morhua) in NAFO divisions 1.A–E, offshore (West Greenland)","cod"
"79",169084,"cod.21.1","Cod (Gadus morhua) in NAFO Subarea 1, inshore (West Greenland cod)","cod"
"80",169090,"cod.21.1a-e","Cod (Gadus morhua) in NAFO divisions 1.A–E, offshore (West Greenland)","cod"
"81",169089,"cod.2127.1f14","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)","cod"
"82",169079,"cod.27.1-2","Cod (Gadus morhua) in subareas 1 and 2 (Northeast Arctic)","cod"
"83",169080,"cod.27.1-2coast","Cod (Gadus morhua) in subareas 1 and 2 (Norwegian coastal waters cod)","cod"
"84",169086,"cod.27.21","Cod (Gadus morhua) in Subdivision 21 (Kattegat)","cod"
"85",169075,"cod.27.22-24","Cod (Gadus morhua) in subdivisions 22–24, western Baltic stock (western Baltic Sea)","cod"
"86",169076,"cod.27.25-32","Cod (Gadus morhua) in subdivisions 25–32, eastern Baltic stock (eastern Baltic Sea)","cod"
"87",169077,"cod.27.47d20","Cod (Gadus morhua) in Subarea 4 and divisions 7.d and 20 (North Sea, eastern English Channel, Skagerrak)","cod"
"88",169083,"cod.27.5a","Cod (Gadus morhua) in Division 5.a (Iceland grounds)","cod"
"89",169082,"cod.27.5b1","Cod (Gadus morhua) in Subdivision 5.b.1 (Faroe Plateau)","cod"
"90",169081,"cod.27.5b2","Cod (Gadus morhua) in Subdivision 5.b.2 (Faroe Bank)","cod"
"91",169088,"cod.27.6a","Cod (Gadus morhua) in Division 6.a (West of Scotland)","cod"
"92",169087,"cod.27.6b","Cod (Gadus morhua) in Division 6.b (Rockall)","cod"
"93",169085,"cod.27.7a","Cod (Gadus morhua) in Division 7.a (Irish Sea)","cod"
"94",169078,"cod.27.7e-k","Cod (Gadus morhua) in divisions 7.e–k (eastern English Channel and southern Celtic Seas)","cod"
"95",169091,"cyo-nea","Portuguese dogfish (Centroscymnus coelolepis, Centrophorus squamosus) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","cyo"
"96",169091,"cyo.27.nea","Portuguese dogfish (Centroscymnus coelolepis, Centrophorus squamosus) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","cyo"
"97",169092,"dab-2232","Dab in Subdivisions 22 - 32 (Baltic Sea)","dab"
"98",169093,"dab-nsea","Dab (Limanda limanda) in Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)","dab"
"99",169092,"dab.27.22-32","Dab (Limanda limanda) in subdivisions 22–32 (Baltic Sea)","dab"
"100",169093,"dab.27.3a4","Dab (Limanda limanda) in Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)","dab"
"101",169094,"dgs-nea","Spurdog (Squalus acanthia) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","dgs"
"102",169094,"dgs.27.nea","Spurdog (Squalus acanthia) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","dgs"
"103",169095,"ele-nea","Eel (Anguilla anguilla) throughout its natural range","ele"
"104",169095,"ele.2737.nea","Eel (Anguilla anguilla) throughout its natural range","ele"
"105",169096,"fle-2223","Flounder (Platichthys flesus) in subdivisions 22 and 23 (Belt Seas and the Sound)","fle"
"106",136528,"fle-2232","Flounder in Subdivisions 22 - 32 (Baltic Sea)","fle"
"107",169097,"fle-2425","Flounder in Sub-divisions 24 and 25","fle"
"108",169098,"fle-2628","Flounder (Platichthys flesus) in subdivisions 26 and 28 (east of Gotland and Gulf of Gdansk)","fle"
"109",169099,"fle-2732","Flounder (Platichthys flesus) in subdivisions 27 and 29–32 (northern central and northern Baltic Sea)","fle"
"110",169100,"fle-nsea","Flounder (Platichthys flesus) in Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)","fle"
